ID|sourateID|numeroverset|verset
1|1|1|Au nom d&apos;Allah, le Tout Mis&eacute;ricordieux, le Tr&egrave;s Mis&eacute;ricordieux.
2|1|2|Louange &agrave; Allah, Seigneur de l&apos;univers.
3|1|3|Le Tout Mis&eacute;ricordieux, le Tr&egrave;s Mis&eacute;ricordieux,
4|1|4|Ma&icirc;tre du Jour de la r&eacute;tribution.
5|1|5|C&apos;est Toi [Seul] que nous adorons, et c&apos;est Toi [Seul] dont nous implorons secours.
6|1|6|Guide-nous dans le droit chemin,
7|1|7|le chemin de ceux que Tu as combl&eacute;s de faveurs, non pas de ceux qui ont encouru Ta col&egrave;re, ni des &eacute;gar&eacute;s.
8|2|1|Alif, L&acirc;m, Mim.
9|2|2|C&apos;est le Livre au sujet duquel il n&apos;y a aucun doute, c&apos;est un guide pour les pieux,
10|2|3|qui croient &agrave; l&apos;invisible et accomplissent la Sal&acirc;t et d&eacute;pensent (dans l&apos;ob&eacute;issance &agrave; Allah), de ce que Nous leur avons attribu&eacute;,
11|2|4|Ceux qui croient &agrave; ce qui t&apos;a &eacute;t&eacute; descendu (r&eacute;v&eacute;l&eacute;) et &agrave; ce qui a &eacute;t&eacute; descendu avant toi et qui croient fermement &agrave; la vie future.
12|2|5|Ceux-l&agrave; sont sur le bon chemin de leur Seigneur, et ce sont eux qui r&eacute;ussissent (dans cette vie et dans la vie future).
13|2|6|[Mais] certes les infid&egrave;les que tu les avertisses ou que tu ne les avertisses pas, ils ne croient pas.
14|2|7|Allah a scell&eacute; leurs c&oelig;urs et leurs oreilles; et un voile &eacute;pais leur couvre la vue; et pour eux il y aura un grand ch&acirc;timent.
15|2|8|Parmi les gens, il y a ceux qui disent: &laquo;Nous croyons en Allah et au Jour dernier!&raquo; tandis qu&apos;en fait, ils n&apos;y croient pas.
16|2|9|Ils cherchent &agrave; tromper Allah et les croyants; mais ils ne trompent qu&apos;eux-m&ecirc;mes, et ils ne s&apos;en rendent pas compte.
17|2|10|Il y a dans leurs c&oelig;urs une maladie (de doute et d&apos;hypocrisie), et Allah laisse cro&icirc;tre leur maladie. Ils auront un ch&acirc;timent douloureux, pour avoir menti.
18|2|11|Et quand on leur dit: &laquo;Ne semez pas la corruption sur la terre&raquo;, ils disent: &laquo;Au contraire nous ne sommes que des r&eacute;formateurs!&raquo;
19|2|12|Certes, ce sont eux les v&eacute;ritables corrupteurs, mais ils ne s&apos;en rendent pas compte.
20|2|13|Et quand on leur dit: &laquo;Croyez comme les gens ont cru&raquo;, ils disent: &laquo;Croirons-nous comme ont cru les faibles d&apos;esprit?&raquo; Certes, ce sont eux les v&eacute;ritables faibles d&apos;esprit, mais ils ne le savent pas.
21|2|14|Quand ils rencontrent ceux qui ont cru, ils disent: &laquo;Nous croyons&raquo; mais quand ils se trouvent seuls avec leurs diables, ils disent: &laquo;Nous sommes avec vous; en effet nous ne faisions que nous moquer (d&apos;eux)&raquo;.
22|2|15|C&apos;est Allah qui Se moque d&apos;eux et les endurcira dans leur r&eacute;volte et prolongera sans fin leur &eacute;garement.
23|2|16|Ce sont eux qui ont troqu&eacute; le droit chemin contre l&apos;&eacute;garement. Eh bien, leur n&eacute;goce n&apos;a point profit&eacute;. Et ils ne sont pas sur la bonne voie.
24|2|17|Ils ressemblent &agrave; quelqu&apos;un qui a allum&eacute; un feu; puis quand le feu a illumin&eacute; tout &agrave; l&apos;entour, Allah a fait dispara&icirc;tre leur lumi&egrave;re et les a abandonn&eacute;s dans les t&eacute;n&egrave;bres o&ugrave; ils ne voient plus rien.
25|2|18|Sourds, muets, aveugles, ils ne peuvent donc pas revenir (de leur &eacute;garement).
26|2|19|(On peut encore les comparer &agrave; ces gens qui,) au moment o&ugrave; les nu&eacute;es &eacute;clatent en pluies, charg&eacute;es de t&eacute;n&egrave;bres, de tonnerre et &eacute;clairs, se mettent les doigts dans les oreilles, terroris&eacute;s par le fracas de la foudre et craignant la mort; et Allah encercle de tous c&ocirc;t&eacute;s les infid&egrave;les.
27|2|20|L&apos;&eacute;clair presque leur emporte la vue: chaque fois qu&apos;il leur donne de la lumi&egrave;re, ils avancent; mais d&egrave;s qu&apos;il fait obscur, ils s&apos;arr&ecirc;tent. Si Allah le voulait Il leur enl&egrave;verait certes l&apos;ou&iuml;e et la vue, car Allah a pouvoir sur toute chose.
28|2|21|O hommes! Adorez votre Seigneur, qui vous a cr&eacute;&eacute;s vous et ceux qui vous ont pr&eacute;c&eacute;d&eacute;s. Ainsi atteindriez-vous &agrave; la pi&eacute;t&eacute;.
29|2|22|C&apos;est Lui qui vous a fait la terre pour lit, et le ciel pour toit; qui pr&eacute;cipite la pluie du ciel et par elle fait surgir toutes sortes de fruits pour vous nourrir, ne Lui cherchez donc pas des &eacute;gaux, alors que vous savez (tout cela).
30|2|23|Si vous avez un doute sur ce que Nous avons r&eacute;v&eacute;l&eacute; &agrave; Notre Serviteur, t&acirc;chez donc de produire une sourate semblable et appelez vos t&eacute;moins, (les idoles) que vous adorez en dehors d&apos;Allah, si vous &ecirc;tes v&eacute;ridiques.
31|2|24|Si vous n&apos;y parvenez pas et, &agrave; coup s&ucirc;r, vous n&apos;y parviendrez jamais, parez-vous donc contre le feu qu&apos;alimenteront les hommes et les pierres, lequel est r&eacute;serv&eacute; aux infid&egrave;les.
32|2|25|Annonce &agrave; ceux qui croient et pratiquent de bonnes &oelig;uvres qu&apos;ils auront pour demeures des jardins sous lesquels coulent les ruisseaux; chaque fois qu&apos;ils seront gratifi&eacute;s d&apos;un fruit des jardins ils diront: &laquo;C&apos;est bien l&agrave; ce qui nous avait &eacute;t&eacute; servi auparavant&raquo;. Or c&apos;est quelque chose de semblable (seulement dans la forme); ils auront l&agrave; des &eacute;pouses pures, et l&agrave; ils demeureront &eacute;ternellement.
33|2|26|Certes, Allah ne se g&ecirc;ne point de citer en exemple n&apos;importe quoi: un moustique ou quoi que ce soit au-dessus; quant aux croyants, ils savent bien qu&apos;il s&apos;agit de la v&eacute;rit&eacute; venant de la part de leur Seigneur; quant aux infid&egrave;les, ils se demandent &laquo;Qu&apos;a voulu dire Allah par un tel exemple?&raquo; Par cela, nombreux sont ceux qu&apos;Il &eacute;gare et nombreux sont ceux qu&apos;Il guide; mais Il n&apos;&eacute;gare par cela que les pervers,
